name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Emre Demir,Attacking Midfield,18,1,Turkey,Süper Lig,Kayserispor,Spain,Primera Federación - Gr. II,FC Barcelona Atlètic,2
Delano Burgzorg,Left Winger,23,2,Netherlands,Keuken Kampioen Divisie,Heracles Almelo,Germany,Bundesliga,1.FSV Mainz 05,2
Riccardo Ciervo,Left Winger,20,1,Italy,Serie A,AS Roma,Italy,Serie A,US Sassuolo,2
Jessic Ngankam,Centre-Forward,21,2,Germany,2. Bundesliga,SpVgg Greuther Fürth,Germany,Bundesliga,Hertha BSC,2
Marcin Bulka,Goalkeeper,22,2,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,OGC Nice,2
Leonardo Buta,Left-Back,20,0.45,Portugal,Without League,SC Braga B,Italy,Serie A,Udinese Calcio,2
Valentin Antov,Centre-Back,21,0.8,Bulgaria,efbet Liga,CSKA-Sofia,Italy,Serie A,AC Monza,2
Facundo Waller,Left Midfield,25,1,Uruguay,Primera División,Club Plaza Colonia,Mexico,Liga MX Apertura,Atlético de San Luis,2
Oscar Fraulo,Central Midfield,18,0.35,Denmark,Superligaen,FC Midtjylland,Germany,Bundesliga,Borussia Mönchengladbach,2
Zakaria Aboukhlal,Right Winger,22,2,Netherlands,Eredivisie,AZ Alkmaar,France,Ligue 1,FC Toulouse,2
Dominik Kotarski,Goalkeeper,22,1,Croatia,SuperSport HNL,HNK Gorica,Greece,Super League 1,PAOK Thessaloniki,2
Ahmed Touba,Centre-Back,24,1,Netherlands,Eredivisie,RKC Waalwijk,Turkey,Süper Lig,Istanbul Basaksehir FK,2
Emre Mor,Right Winger,24,1,Turkey,Süper Lig,Fatih Karagümrük,Turkey,Süper Lig,Fenerbahce SK,2
Alexsandro,Centre-Back,22,0.8,Portugal,Liga Portugal,GD Chaves,France,Ligue 1,LOSC Lille,2
Michel Vlap,Attacking Midfield,25,2,Belgium,Jupiler Pro League,RSC Anderlecht,Netherlands,Eredivisie,Twente Enschede FC,2
Luca de la Torre,Central Midfield,24,0.85,Netherlands,Keuken Kampioen Divisie,Heracles Almelo,Spain,LaLiga,Celta de Vigo,2
Matteo Luigi Brunori,Centre-Forward,27,1,Italy,Serie C - A,Juventus Next Gen,Italy,Serie B,Palermo FC,2
Emrecan Uzunhan,Centre-Back,21,0.525,Turkey,Süper Lig,Istanbulspor,Turkey,Süper Lig,Besiktas JK,2
Roggerio Nyakossi,Centre-Back,18,0.1,Switzerland,Super League,Servette FC,France,N 3 - Corse-Méditer.,Olympique de Marseille B,2
Veton Berisha,Centre-Forward,28,1,Norway,Eliteserien,Viking Stavanger,Sweden,Allsvenskan,Hammarby IF,2
Giacomo Quagliata,Left-Back,22,0.8,Netherlands,Keuken Kampioen Divisie,Heracles Almelo,Italy,Serie A,US Cremonese,2
Doron Leidner,Left-Back,20,1,Israel,Ligat ha'Al,Hapoel Tel Aviv,Greece,Super League 1,Olympiacos Piraeus,2
Daniel Samek,Defensive Midfield,18,2,Czech Republic,Fortuna Liga,SK Slavia Prague,Italy,Serie A,US Lecce,2
Victor Boniface,Centre-Forward,21,0.7,Norway,Eliteserien,FK Bodø/Glimt,Belgium,Jupiler Pro League,Royale Union Saint Gilloise,2
Lameck Banda,Right Winger,21,0.3,Israel,Liga Leumit,Maccabi Petah Tikva,Italy,Serie A,US Lecce,2
Oleksandr Zubkov,Right Winger,26,1,Hungary,NB I.,Ferencvárosi TC,Ukraine,Premier Liga,Shakhtar Donetsk,2
Tommaso Mancini,Centre-Forward,18,0.5,Italy,Serie C - A,LR Vicenza,Italy,Primavera 1,Juventus Primavera,2
Willyan Rocha,Centre-Back,27,1,Portugal,Liga Portugal,Portimonense SC,Russia,Premier Liga,CSKA Moscow,2
Brian Ocampo,Right Winger,23,2,Uruguay,Primera División,Club Nacional,Spain,LaLiga,Cádiz CF,1
Cedric Itten,Centre-Forward,25,2,Scotland,Premiership,Rangers FC,Switzerland,Super League,BSC Young Boys,1
Rayan Raveloson,Defensive Midfield,25,2,United States,MLS,Los Angeles Galaxy,France,Ligue 1,AJ Auxerre,1
Jessic Ngankam,Centre-Forward,21,2,Germany,Bundesliga,Hertha BSC,Germany,2. Bundesliga,SpVgg Greuther Fürth,1
Oscar Vilhelmsson,Centre-Forward,18,2,Sweden,Allsvenskan,IFK Göteborg,Germany,2. Bundesliga,SV Darmstadt 98,1
Khaled Narey,Right Winger,27,2,Germany,2. Bundesliga,Fortuna Düsseldorf,Greece,Super League 1,PAOK Thessaloniki,1
Andreas Bruus,Right-Back,23,2,Denmark,Superligaen,Bröndby IF,France,Ligue 1,ESTAC Troyes,1
Moustapha Name,Defensive Midfield,27,2,France,Ligue 2,Paris FC,Cyprus,Protathlima Cyta,Pafos FC,1
Ohi Omoijuanfo,Centre-Forward,28,2,Serbia,Super liga Srbije,Red Star Belgrade,Denmark,Superligaen,Bröndby IF,1
Andrés Andrade,Centre-Back,23,2,Austria,Bundesliga,LASK,Germany,2. Bundesliga,Arminia Bielefeld,1
Dogucan Haspolat,Defensive Midfield,22,2,Turkey,Süper Lig,Kasimpasa,Turkey,Süper Lig,Trabzonspor,1
Krzysztof Kubica,Central Midfield,22,2,Poland,Ekstraklasa,Górnik Zabrze,Italy,Serie B,Benevento Calcio,1
Srdjan Babic,Centre-Back,26,2,Serbia,Super liga Srbije,Red Star Belgrade,Spain,LaLiga,UD Almería,1
Pipa,Right-Back,24,2,England,Championship,Huddersfield Town,Greece,Super League 1,Olympiacos Piraeus,1
Eduard Löwen,Central Midfield,25,2,Germany,Bundesliga,Hertha BSC,United States,Without League,St. Louis CITY SC,1
Francesco Di Mariano,Left Winger,26,2,Italy,Serie A,US Lecce,Italy,Serie B,Palermo FC,1
Milan Pavkov,Centre-Forward,28,2,Serbia,Super liga Srbije,Red Star Belgrade,Saudi Arabia,Professional League,Al-Fayha FC,1
Amer Gojak,Attacking Midfield,25,2,Croatia,SuperSport HNL,GNK Dinamo Zagreb,Hungary,NB I.,Ferencvárosi TC,1
Yanis Hamache,Left-Back,23,2,Portugal,Liga Portugal,Boavista FC,Ukraine,Premier Liga,SK Dnipro-1,1
Sergio Santos,Centre-Forward,27,2,United States,MLS,Philadelphia Union,United States,MLS,FC Cincinnati,0.841
Tommaso Milanese,Central Midfield,19,2,Italy,Serie A,AS Roma,Italy,Serie A,US Cremonese,0.75
Renato Steffen,Right Winger,30,2,Germany,Bundesliga,VfL Wolfsburg,Switzerland,Super League,FC Lugano,0.75
Hamidou Traore,Defensive Midfield,25,2,Turkey,Süper Lig,Giresunspor,Serbia,Super liga Srbije,FK Partizan Belgrade,0.7
William Mikelbrencis,Right-Back,18,2,France,Ligue 2,FC Metz,Germany,2. Bundesliga,Hamburger SV,0.7
Adam Gnezda Cerin,Central Midfield,22,2,Germany,2. Bundesliga,1.FC Nuremberg,Greece,Super League 1,Panathinaikos Athens,0.65
Kanya Fujimoto,Attacking Midfield,23,2,Japan,J2 League,Tokyo Verdy,Portugal,Liga Portugal,Gil Vicente FC,0.6
Federico Di Francesco,Left Winger,28,2,Italy,Serie B,SPAL,Italy,Serie A,US Lecce,0.5
Irfan Can Egribayat,Goalkeeper,24,2,Turkey,1.Lig,Göztepe,Turkey,Süper Lig,Fenerbahce SK,0.5
Cenk Özkacar,Centre-Back,21,2,France,Ligue 1,Olympique Lyon,Spain,LaLiga,Valencia CF,0.5
Marrony,Centre-Forward,23,2,Denmark,Superligaen,FC Midtjylland,Brazil,Série A,Fluminense Football Club,0.4
Carlitos,Centre-Forward,32,2,Greece,Super League 1,Panathinaikos Athens,Poland,Ekstraklasa,Legia Warszawa,0.4
Jacob Shaffelburg,Left Winger,22,2,Canada,MLS,Toronto FC,United States,MLS,Nashville SC,0.205
Flávio,Central Midfield,26,2,Turkey,Süper Lig,Trabzonspor,Saudi Arabia,Professional League,Al-Taawoun FC,0.196
Paul Nardi,Goalkeeper,28,2,France,Ligue 1,FC Lorient,Belgium,Jupiler Pro League,KAA Gent,0.15
Matous Trmal,Goalkeeper,23,2,Portugal,Liga Portugal,Vitória Guimarães SC,Portugal,Liga Portugal,CS Marítimo,0.05
Yahia Fofana,Goalkeeper,21,2,France,Ligue 2,AC Le Havre,France,Ligue 1,Angers SCO,free transfer
Jens Stryger Larsen,Right-Back,31,2,Italy,Serie A,Udinese Calcio,Turkey,Süper Lig,Trabzonspor,free transfer
Philipp Hofmann,Centre-Forward,29,2,Germany,2. Bundesliga,Karlsruher SC,Germany,Bundesliga,VfL Bochum,free transfer
Jérémie Bela,Left Winger,29,2,England,Championship,Birmingham City,France,Ligue 1,Clermont Foot 63,free transfer
Miha Blazic,Centre-Back,29,2,Hungary,NB I.,Ferencvárosi TC,France,Ligue 1,Angers SCO,free transfer
Thomas Delaine,Left-Back,30,2,France,Ligue 2,FC Metz,France,Ligue 1,RC Strasbourg Alsace,free transfer
Davide Bettella,Centre-Back,22,2,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,?
Fernando González,Defensive Midfield,28,2,Mexico,Liga MX Apertura,Club Necaxa,Mexico,Liga MX Apertura,Deportivo Guadalajara,?
Domagoj Pavicic,Central Midfield,28,2,Croatia,SuperSport HNL,HNK Rijeka,Turkey,Süper Lig,Konyaspor,free transfer
Andrés Roa,Attacking Midfield,29,2,Argentina,Liga Profesional,Club Atlético Independiente,Argentina,Liga Profesional,AA Argentinos Juniors,free transfer
Rafa Soares,Left-Back,27,2,Portugal,Liga Portugal,Vitória Guimarães SC,Greece,Super League 1,PAOK Thessaloniki,free transfer
Fraser Forster,Goalkeeper,34,2,England,Premier League,Southampton FC,England,Premier League,Tottenham Hotspur,free transfer
Sheyi Ojo,Left Winger,25,2,England,Premier League,Liverpool FC,Wales,Championship,Cardiff City,free transfer
Cenk Tosun,Centre-Forward,31,2,England,Premier League,Everton FC,Turkey,Süper Lig,Besiktas JK,free transfer
Mahlon Romeo,Right-Back,26,2,England,Championship,Millwall FC,Wales,Championship,Cardiff City,free transfer
Jake Clarke-Salter,Centre-Back,24,2,England,Premier League,Chelsea FC,England,Championship,Queens Park Rangers,free transfer
Jürgen Locadia,Centre-Forward,28,2,Germany,Bundesliga,VfL Bochum,Iran,Persian Gulf Pro League,Persepolis FC,free transfer
Jemerson,Centre-Back,29,2,,Without League,Without Club,Brazil,Série A,Clube Atlético Mineiro,free transfer
Cauley Woodrow,Centre-Forward,27,2,England,League One,Barnsley FC,England,Championship,Luton Town,?
Will Vaulks,Defensive Midfield,28,2,Wales,Championship,Cardiff City,England,League One,Sheffield Wednesday,free transfer
Sebastien Thill,Attacking Midfield,28,2,Luxembourg,BGL Ligue,FC Progrès Niederkorn,Germany,2. Bundesliga,FC Hansa Rostock,?
Ole Selnaes,Defensive Midfield,27,2,China,Super League,Shenzhen FC,Switzerland,Super League,FC Zürich,free transfer
Juan Brunetta,Attacking Midfield,25,2,Argentina,Liga Profesional,CD Godoy Cruz Antonio Tomba,Mexico,Liga MX Apertura,Santos Laguna,loan transfer
Zeki Amdouni,Centre-Forward,21,2,Switzerland,Challenge League,FC Lausanne-Sport,Switzerland,Super League,FC Basel 1893,loan transfer
Gianluca Frabotta,Left-Back,23,2,Italy,Serie A,Juventus FC,Italy,Serie A,US Lecce,loan transfer
João Carlos Teixeira,Attacking Midfield,29,2,Portugal,Liga Portugal,FC Famalicão,Qatar,Stars League,Umm Salal SC,free transfer
Roberto López,Attacking Midfield,22,2,Spain,LaLiga,Real Sociedad,Spain,LaLiga2,CD Mirandés,loan transfer
Benik Afobe,Centre-Forward,29,2,England,Championship,Stoke City,England,Championship,Millwall FC,?
Mattia Valoti,Central Midfield,28,2,Italy,Serie B,SPAL,Italy,Serie A,AC Monza,?
Thiago Galhardo,Centre-Forward,32,2,Brazil,Série A,Sport Club Internacional,Brazil,Série A,Fortaleza Esporte Clube,loan transfer
Salvi Sánchez,Right Winger,31,2,Spain,LaLiga,Cádiz CF,Spain,LaLiga,Rayo Vallecano,free transfer
Mile Svilar,Goalkeeper,22,2,Portugal,Liga Portugal,SL Benfica,Italy,Serie A,AS Roma,free transfer
Lovre Kalinic,Goalkeeper,32,2,England,Premier League,Aston Villa,Croatia,SuperSport HNL,HNK Hajduk Split,free transfer
Andre Gray,Centre-Forward,31,2,England,Championship,Watford FC,Greece,Super League 1,Aris Thessaloniki,free transfer
Xavi Quintillà,Left-Back,25,2,Spain,LaLiga,Villarreal CF,Portugal,Liga Portugal,CD Santa Clara,free transfer
Sidnei,Centre-Back,32,2,Brazil,Série A,Goiás Esporte Clube,Spain,LaLiga2,UD Las Palmas,free transfer
Rafael Camacho,Right Winger,22,2,Portugal,Liga Portugal,Sporting CP,Greece,Super League 1,Aris Thessaloniki,loan transfer
Francesco Vicari,Centre-Back,27,2,Italy,Serie B,SPAL,Italy,Serie B,SSC Bari,?
Arturo Vidal,Central Midfield,35,2,Italy,Serie A,Inter Milan,Brazil,Série A,Clube de Regatas do Flamengo,free transfer
Robert Zulj,Attacking Midfield,30,2,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,Austria,Bundesliga,LASK,free transfer
Auston Trusty,Centre-Back,23,2,England,Premier League,Arsenal FC,England,Championship,Birmingham City,loan transfer
Paolo Ghiglione,Right Midfield,25,2,Italy,Serie B,Genoa CFC,Italy,Serie A,US Cremonese,?
Santiago Ormeño,Centre-Forward,28,2,Mexico,Liga MX Apertura,Club León FC,Mexico,Liga MX Apertura,Deportivo Guadalajara,loan transfer
Darío Sarmiento,Right Winger,19,2,England,Premier League 2,Manchester City U21,Uruguay,Primera División,Montevideo City Torque,loan transfer
Carlos Clerc,Left-Back,30,2,Spain,LaLiga2,Levante UD,Spain,LaLiga,Elche CF,free transfer
Roberto Massimo,Left Winger,21,2,Germany,Bundesliga,VfB Stuttgart,Portugal,Liga Sabseg,Académico Viseu FC,loan transfer
Will Smallbone,Central Midfield,22,2,England,Premier League,Southampton FC,England,Championship,Stoke City,loan transfer
Mailson,Goalkeeper,25,2,Brazil,Série B,Sport Club do Recife,Saudi Arabia,Professional League,Al-Taawoun FC,free transfer
Jonathan Menéndez,Left Winger,28,2,United States,MLS,Real Salt Lake City,Argentina,Liga Profesional,CA Vélez Sarsfield,loan transfer
Samuele Mulattieri,Centre-Forward,21,2,Italy,Serie A,Inter Milan,Italy,Serie B,Frosinone Calcio,loan transfer
Álvaro Fernandez,Left-Back,19,2,England,Premier League,Manchester United,England,Championship,Preston North End,loan transfer
Abdulkadir Parmak,Central Midfield,27,2,Turkey,Süper Lig,Trabzonspor,Turkey,Süper Lig,Gaziantep FK,loan transfer
Gabriel Noga,Centre-Back,20,2,Brazil,Série A,Clube de Regatas do Flamengo,Brazil,Série B,Esporte Clube Bahia,loan transfer
Tomás Araújo,Centre-Back,20,2,Portugal,Liga Sabseg,SL Benfica B,Portugal,Liga Portugal,Gil Vicente FC,loan transfer
Maxime Leverbe,Centre-Back,25,2,Italy,Serie B,Pisa Sporting Club,Italy,Serie A,UC Sampdoria,loan transfer
Mikael,Centre-Forward,23,2,Italy,Serie A,US Salernitana 1919,Brazil,Série A,Sport Club Internacional,loan transfer
Fabio Abreu,Centre-Forward,29,2,Saudi Arabia,Professional League,Al-Batin FC,United Arab Emirates,UAE Pro League,Khor Fakkan,?
Vicente Iborra,Defensive Midfield,34,2,Spain,LaLiga,Villarreal CF,Spain,LaLiga2,Levante UD,loan transfer
Florian Lejeune,Centre-Back,31,2,Spain,LaLiga2,Deportivo Alavés,Spain,LaLiga,Rayo Vallecano,loan transfer
Daniel Maldini,Attacking Midfield,20,2,Italy,Serie A,AC Milan,Italy,Serie A,Spezia Calcio,loan transfer
Rodrigo Riquelme,Right Winger,22,2,Spain,LaLiga,Atlético de Madrid,Spain,LaLiga,Girona FC,loan transfer
Thuler,Centre-Back,23,2,Brazil,Série A,Clube de Regatas do Flamengo,Japan,J1 League,Vissel Kobe,loan transfer
Wilder Cartagena,Defensive Midfield,27,2,United Arab Emirates,UAE Pro League,Al-Ittihad Kalba SC,United States,MLS,Orlando City SC,loan transfer
Charlie Patino,Central Midfield,18,2,England,Premier League 2,Arsenal FC U21,England,Championship,Blackpool FC,loan transfer
Nicolò Cambiaghi,Left Winger,21,2,Italy,Serie A,Atalanta BC,Italy,Serie A,FC Empoli,loan transfer
Matt Miazga,Centre-Back,27,2,England,Premier League,Chelsea FC,United States,MLS,FC Cincinnati,free transfer
Luan,Attacking Midfield,29,2,Brazil,Série A,Sport Club Corinthians Paulista,Brazil,Série A,Santos FC,loan transfer
Yassine Meriah,Centre-Back,29,2,United Arab Emirates,UAE Pro League,Al-Ain FC,Tunisia,Ligue I Pro,Esperance Tunis,free transfer
Omar Al-Somah,Centre-Forward,33,2,Saudi Arabia,Without League,Al-Ahli Saudi FC,Qatar,Stars League,Al-Arabi SC,loan transfer
Santiago Naveda,Defensive Midfield,21,2,Mexico,Liga MX Apertura,CF América,Poland,Ekstraklasa,Miedz Legnica,loan transfer
Pedro Rocha,Left Winger,27,2,Russia,Premier Liga,Spartak Moscow,Brazil,Série A,Fortaleza Esporte Clube,free transfer
Philippe Sandler,Centre-Back,25,2,Netherlands,Eredivisie,Feyenoord Rotterdam,Netherlands,Eredivisie,NEC Nijmegen,free transfer
Federico Ricca,Left-Back,27,2,Belgium,Jupiler Pro League,Club Brugge KV,Belgium,Jupiler Pro League,Oud-Heverlee Leuven,free transfer
Tariqe Fosu,Left Winger,26,2,England,Premier League,Brentford FC,England,Championship,Stoke City,loan transfer
Davide Bettella,Centre-Back,22,2,Italy,Serie A,AC Monza,Italy,Serie B,Palermo FC,loan transfer
Maximiliano Lovera,Left Winger,23,2,Greece,Super League 1,Olympiacos Piraeus,Greece,Super League 1,Ionikos Nikeas,loan transfer
Samuel Umtiti,Centre-Back,28,2,Spain,LaLiga,FC Barcelona,Italy,Serie A,US Lecce,loan transfer
Papa Ndiaga Yade,Left Winger,22,2,France,Ligue 2,FC Metz,France,Ligue 1,ESTAC Troyes,loan transfer
Steven Caulker,Centre-Back,30,2,Turkey,Süper Lig,Fenerbahce SK,Turkey,Süper Lig,Fatih Karagümrük,free transfer
Anthony Kalik,Defensive Midfield,24,2,Croatia,SuperSport HNL,HNK Gorica,Croatia,SuperSport HNL,HNK Hajduk Split,?
Luís Oyama,Defensive Midfield,25,2,Brazil,Série A,Botafogo de Futebol e Regatas,Belgium,Challenger Pro League,RWD Molenbeek,loan transfer
Ian Poveda,Right Winger,22,2,England,Premier League,Leeds United,England,Championship,Blackpool FC,loan transfer
Youssouf Koné,Left-Back,27,2,France,Ligue 1,Olympique Lyon,France,Ligue 1,AC Ajaccio,loan transfer
Mateusz Zukowski,Right-Back,20,2,Scotland,Premiership,Rangers FC,Poland,Ekstraklasa,Lech Poznan,loan transfer
Filippo Melegoni,Central Midfield,23,2,Italy,Serie B,Genoa CFC,Belgium,Jupiler Pro League,Standard Liège,loan transfer
Darko Velkovski,Centre-Back,27,2,Croatia,SuperSport HNL,HNK Rijeka,Saudi Arabia,Professional League,Ettifaq FC,free transfer
Luca Zidane,Goalkeeper,24,2,Spain,LaLiga,Rayo Vallecano,Spain,LaLiga2,SD Eibar,free transfer
Mateo Klimowicz,Attacking Midfield,22,2,Germany,Bundesliga,VfB Stuttgart,Germany,2. Bundesliga,Arminia Bielefeld,loan transfer
Ibrahim Amadou,Defensive Midfield,29,2,France,Ligue 2,FC Metz,France,Ligue 1,Angers SCO,free transfer
Jean-Daniel Akpa Akpro,Central Midfield,29,2,Italy,Serie A,SS Lazio,Italy,Serie A,FC Empoli,loan transfer
Paulo Gazzaniga,Goalkeeper,30,2,England,Premier League,Fulham FC,Spain,LaLiga,Girona FC,loan transfer
Gianluca Frabotta,Left-Back,23,2,Italy,Serie A,US Lecce,Italy,Serie B,Frosinone Calcio,loan transfer
Bruno Amione,Centre-Back,20,2,Italy,Serie A,Hellas Verona,Italy,Serie A,UC Sampdoria,loan transfer
Maxime Leverbe,Centre-Back,25,2,Italy,Serie A,UC Sampdoria,Italy,Serie B,Benevento Calcio,loan transfer
Rober González,Right Winger,21,2,Spain,LaLiga,Real Betis Balompié,Spain,LaLiga2,Deportivo Alavés,loan transfer
Josh Koroma,Centre-Forward,23,2,England,Championship,Huddersfield Town,England,League One,Portsmouth FC,loan transfer
Josh Bowler,Right Winger,23,2,England,Premier League,Nottingham Forest,Greece,Super League 1,Olympiacos Piraeus,loan transfer
Pierre Dwomoh,Central Midfield,18,2,Belgium,Jupiler Pro League,Royal Antwerp FC,Portugal,Without League,SC Braga B,loan transfer
Mubarak Wakaso,Central Midfield,32,2,China,Super League,Shenzhen FC,Belgium,Jupiler Pro League,KAS Eupen,loan transfer
Jan Vertonghen,Centre-Back,35,2,Portugal,Liga Portugal,SL Benfica,Belgium,Jupiler Pro League,RSC Anderlecht,free transfer
Lautaro Blanco,Left-Back,23,1,Argentina,Liga Profesional,CA Rosario Central,Spain,LaLiga,Elche CF,1
Nilson Angulo,Centre-Forward,19,1,Ecuador,Serie A Segunda Etapa,LDU Quito,Belgium,Jupiler Pro League,RSC Anderlecht,1
Ilias Koutsoupias,Central Midfield,21,1,Italy,Serie C - B,Virtus Entella,Italy,Serie B,Benevento Calcio,0.75
Domagoj Vida,Centre-Back,33,1,Turkey,Süper Lig,Besiktas JK,Greece,Super League 1,AEK Athens,free transfer
Luke McNally,Centre-Back,22,-,England,League One,Oxford United,England,Championship,Burnley FC,1
Mender García,Centre-Forward,23,0.5,Colombia,Liga DIMAYOR II,Once Caldas,United States,MLS,Minnesota United FC,1
Adalberto Carrasquilla,Central Midfield,23,1,Spain,LaLiga2,FC Cartagena,United States,MLS,Houston Dynamo FC,1
Shaq Moore,Right-Back,25,0.8,Spain,LaLiga2,CD Tenerife,United States,MLS,Nashville SC,1
Lovro Zvonarek,Attacking Midfield,17,1,Croatia,SuperSport HNL,Slaven Belupo Koprivnica,Germany,Regionalliga Bayern,FC Bayern Munich II,1
Aliou Badji,Centre-Forward,24,1,Egypt,Premier League,El Ahly Cairo,France,Ligue 2,Amiens SC,1
Nicolás Quagliata,Left Winger,23,0.8,Uruguay,Primera División,Montevideo Wanderers,Greece,Super League 1,PAOK Thessaloniki,1
Maksim Glushenkov,Centre-Forward,22,1,Russia,Premier Liga,Spartak Moscow,Russia,Premier Liga,Krylya Sovetov Samara,1
Guilherme Castilho,Central Midfield,22,1,Brazil,Série A,Clube Atlético Mineiro,Brazil,Série A,Ceará Sporting Club,1
Bogdan Planic,Centre-Back,30,0.7,Israel,Ligat ha'Al,Maccabi Haifa,United Arab Emirates,UAE Pro League,FC Shabab Al-Ahli Dubai,1
Pep Chavarría,Left-Back,24,0.8,Spain,LaLiga2,Real Zaragoza,Spain,LaLiga,Rayo Vallecano,1
Nonato,Central Midfield,24,1,Brazil,Série A,Sport Club Internacional,Bulgaria,efbet Liga,Ludogorets Razgrad,1
Frantzdy Pierrot,Centre-Forward,27,1,France,Ligue 2,EA Guingamp,Israel,Ligat ha'Al,Maccabi Haifa,1
César Falletti,Attacking Midfield,29,1,Italy,Serie A,Bologna FC 1909,Italy,Serie B,Ternana Calcio,1
Vladislav Sarveli,Centre-Forward,24,1,Russia,Premier Liga,Krylya Sovetov Samara,Russia,Premier Liga,FC Sochi,1
Marcos López,Left-Back,22,1,United States,MLS,San Jose Earthquakes,Netherlands,Eredivisie,Feyenoord Rotterdam,1
Yago Pikachu,Right Midfield,30,1,Brazil,Série A,Fortaleza Esporte Clube,Japan,J1 League,Shimizu S-Pulse,0.8
